,1_P1-100-3,1_P1-20-3,1_P1-200-3,1_P1-300-3,1_P1-40-3,1_P1-60-3,2_P1-100-3,2_P1-20-3,2_P1-200-3,2_P1-300-3,2_P1-40-3,2_P1-60-3,3_P1-20-3,3_P1-200-3,3_P1-300-3,3_P1-40-3,3_P1-60-3,4_P1-90-3,4_P1-20-3,4_P1-100-3,4_P1-200-3,4_P1-40-3,4_P1-60-3,4_P1-300-3,5_P1-20-3,3_P1-90-3,5_P1-100-3,5_P1-200-3,5_P1-300-3,5_P1-40-3,5_P1-90-3,6_P1-100-3,6_P1-20-3,6_P1-200-3,6_P1-40-3,6_P1-60-3,6_P1-300-3,7_P1-20-3,7_P1-40-3,7_P1-60-3,10_P1-20-3,10_P1-40-3,7_P1-105-3,7_P1-200-3,7_P1-300-3,8_P1-100-3,8_P1-115-3,8_P1-20-3,8_P1-200-3,8_P1-250-3,8_P1-40-3,8_P1-60-3,9_P1-100-3,9_P1-120-3,9_P1-20-3,9_P1-200-3,9_P1-40-3,9_P1-500-3,9_P1-60-3,10_P1-100-3,10_P1-120-3,10_P1-200-3,10_P1-500-3,10_P1-60-3,11_P1-100-3,11_P1-20-3,11_P1-200-3,11_P1-40-3,11_P1-500-3,11_P1-60-3,11_P1-70-3,12_P1-100-3,12_P1-20-3,12_P1-200-3,12_P1-40-3,12_P1-500-3,12_P1-60-3,13_P1-100-3,13_P1-20-3,13_P1-200-3,13_P1-40-3,13_P1-500-3,13_P1-60-3,14_P1-100-3,14_P1-20-3,14_P1-200-3,14_P1-40-3,14_P1-500-3,14_P1-60-3,15_P1-100-3,15_P1-20-3,15_P1-200-3,15_P1-40-3,15_P1-500-3,15_P1-60-3,16_P1-20-3,16_P1-100-3,16_P1-200-3,16_P1-40-3,16_P1-500-3,16_P1-60-3,17_P1-100-3,17_P1-20-3,17_P1-40-3,17_P1-500-3,17_P1-60-3,18_P1-100-3,18_P1-20-3,18_P1-200-3,18_P1-40-3,18_P1-500-3,18_P1-60-3,19_P1-100-3,19_P1-20-3,19_P1-200-3,19_P1-40-3,19_P1-500-3,19_P1-60-3,12_P2-100-3,12_P2-20-3,12_P2-200-3,12_P2-300-3,12_P2-40-3,12_P2-60-3,15_P2-100-3,15_P2-20-3,15_P2-200-3,15_P2-300-3,15_P2-40-3,15_P2-60-3,17_P2-100-3,17_P2-20-3,17_P2-200-3,17_P2-300-3,17_P2-40-3,17_P2-60-3,6_P2-100-3,6_P2-20-3,6_P2-200-3,6_P2-300-3,6_P2-40-3,6_P2-60-3,8_P2-20-3,8_P2-200-3,8_P2-300-3,8_P2-40-3,8_P2-60-3,18_P2-100-3,18_P2-20-3,18_P2-200-3,18_P2-300-3,18_P2-40-3,18_P2-60-3,20_P2-100-3,20_P2-20-3,20_P2-200-3,20_P2-300-3,20_P2-40-3,20_P2-60-3
2_P1-60-3,1,1,0.99,1,-0.97,0.76,0.63,-1,1,1,-1,0,-0.89,1,1,0.75,0.47,1,0.88,1,1,1,0.98,1,1,0.99,1,1,1,1,0.94,1,0.97,1,0.98,1,1,0.98,0.75,0.88,0.98,0.49,1,1,1,0.54,0.96,0.27,1,1,0.77,0.89,0.91,0.98,0.52,1,-0.26,1,1,1,1,1,1,0.22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3_P1-20-3,1,0.6,0.98,1,-0.74,0.23,0.94,-0.94,1,1,-0.98,-0.89,0,1,0.83,-1,-1,0.99,-0.48,1,1,0.72,0.89,0.98,-0.49,0.96,0.95,0.99,0.99,-0.35,0.38,0.99,0.91,1,0.69,0.99,0.68,-1,-0.98,-0.88,-0.61,-1,0.97,0.81,0.76,-0.9,0.88,-0.99,1,0.86,-1,-0.73,-0.12,-0.46,-0.95,1,-0.99,0.99,0.49,0.95,1,1,0.94,-0.91,1,0.86,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,0.99,1,0.99,1,1,1,0.96,1,1,1,1,0.98,1,1,1,1,1,0.98,0.83,0.97,1,1,1,1,0.99,0.83,1,1,1,0.88,1,1,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.99,1,1,1,1,0.99,1,1,1,1,1,1,1,1,0.98,1,1,1
3_P1-200-3,0.67,1,0.11,0.73,1,1,0.99,1,0.86,-0.13,1,1,1,0,-0.2,0.99,0.9,1,0.98,1,-0.84,1,0.92,0.44,1,0.87,0.93,0.79,0.57,1,0.97,0.92,1,0.19,1,1,0.46,1,1,1,1,1,0.88,0.7,0.51,1,1,0.99,-0.34,0.46,1,0.95,1,0.98,1,0.55,1,0.28,0.35,1,1,0.74,0.47,1,1,1,0.95,1,0.85,0.98,1,1,1,1,1,0.9,1,1,1,1,1,0.96,1,0.99,1,1,1,0.94,1,0.98,1,0.95,1,0.86,0.99,1,1,1,0.98,0.95,1,1,1,1,0.96,0.82,0.95,1,1,1,0.98,1,0.85,1,1,1,0.89,1,1,1,0.93,0.91,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,0.99,0.97,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1
3_P1-300-3,0.78,0.96,0.04,0.91,1,1,0.85,0.97,0.16,0.75,0.98,1,0.83,-0.2,0,-0.48,0.82,0.88,0.79,0.86,-0.65,0.98,0.26,-0.75,0.2,0.47,0.62,-0.29,-0.85,-0.36,0.59,-0.04,1,-0.21,0.97,0.92,-0.76,0.89,0.91,0.68,0.33,0.97,0.43,-0.1,-0.71,0.86,0.96,0.87,0.02,-0.49,0.84,0.55,0.98,0.77,0.86,0.35,0.91,-0.29,-0.71,0.75,0.99,0.82,-0.45,0.92,0.97,0.8,0.83,0.97,0.29,0.75,0.97,0.97,0.97,0.99,0.94,0.16,0.99,0.99,0.95,0.8,0.99,-0.11,0.79,0.69,0.99,0.62,0.96,0.67,0.94,0.78,0.91,0.66,0.99,-0.36,0.75,1,0.94,0.68,0.81,0.35,1,0.91,0.85,0.97,0,0.21,0.5,0.97,0.76,0.93,0.1,0.87,0.03,0.98,0.82,0.95,-0.2,1,0.97,0.86,-0.36,-0.18,0.89,0.95,0.38,0.98,0.59,-0.11,0.97,0.82,0.83,0.47,0.03,-0.22,0.67,0.76,0.8,0.62,0.44,-0.51,0.44,-0.32,0.61,0.89,0.58,0.73,0.69,0.91,0.81,0.66,0.69,0.95,0.85,0.96,0.87,-0.06,0.16,0.99,0.9
3_P1-40-3,1,0.99,0.74,1,-0.16,0.92,0.89,-0.89,0.88,1,-0.99,0.75,-1,0.99,-0.48,0,-0.17,1,0.26,1,1,0.97,0.79,0.89,0.79,0.92,0.88,0.77,0.87,0.7,0.66,0.9,0.98,0.99,0.66,1,-0.14,-0.17,-0.5,-0.51,-0.23,-0.21,0.89,0.82,0.63,-0.73,0.98,-0.93,1,0.94,-0.43,-0.26,0.29,0.54,-0.82,1,-0.96,0.99,0.75,1,1,1,0.92,-0.62,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,0.99,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,0.99,0.98,1,1,1,1,1,1,0.96,1,1,1,0.79,1,1,1,0.49,1,1,1,0.99,1,0.89,0.98,1,1,1,1,1,0.44,1,1,0.99,1,1,0.89,1,0.97,1,1,1,1,1,1,1,0.99,1,1,1,1,1,0.16,1,1,1
3_P1-60-3,1,1,0.99,1,-0.49,0.9,0.81,-0.8,1,1,-0.96,0.47,-1,0.9,0.82,-0.17,0,0.99,0.38,1,1,0.99,0.19,0.99,0.97,0.7,0.65,1,1,0.98,0.2,0.99,0.96,1,0.61,1,0.97,0.55,-0.56,-0.35,0.73,-0.39,0.84,0.95,0.89,-0.88,0.95,-0.9,1,0.96,-0.16,0.04,0.09,0.69,-0.85,1,-0.87,0.98,0.93,1,1,1,0.97,-0.89,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4_P1-90-3,1,1,0.99,1,1,1,-0.17,1,1,1,0.99,1,0.99,1,0.88,1,0.99,0,0.72,-1,1,0.99,-0.33,0.97,1,-0.7,-0.89,0.98,0.99,1,0.82,0.63,0.92,1,-0.03,-0.01,0.78,1,0.99,1,1,1,-0.23,0.99,0.76,0.9,0.34,0.95,1,0.8,1,0.96,0.67,0.92,0.99,0.98,0.99,0.99,0.97,1,0.75,1,0.95,1,0.95,1,1,1,1,0.77,0.93,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,0.98,1,0.99,1,0.99,1,0.97,1,1,1,1,0.99,1,1,1,1,1,0.99,0.95,0.99,1,1,1,1,1,0.95,1,1,1,0.96,1,1,1,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4_P1-20-3,0.98,0.94,0.98,1,0.87,0.95,0.93,0.33,1,1,0.2,0.88,-0.48,0.98,0.79,0.26,0.38,0.72,0,0.88,1,-0.99,-0.48,0.88,-1,0.87,0.7,0.92,0.91,-1,-0.94,0.89,-0.71,0.96,-0.66,-0.74,0.34,-0.84,-0.78,-0.28,0.39,-0.04,0.71,0.9,0.37,-0.07,0.18,-0.5,0.98,0.56,-0.71,-0.15,0.75,0.65,-0.2,0.97,-0.22,0.92,0.49,0.94,0.98,1,0.68,0.39,0.97,0.64,0.99,0.73,0.99,0.86,0.97,1,0.93,1,0.81,1,0.9,0.98,0.98,1,0.99,0.93,0.99,0.98,1,0.99,1,0.9,1,0.89,0.96,0.95,0.99,0.79,0.99,1,0.99,0.98,0.82,0.95,1,0.98,0.97,0.98,0.78,0.39,0.69,0.98,0.99,0.97,0.96,0.91,0.4,0.99,1,0.95,0.52,1,1,0.98,0.91,0.93,0.94,1,0.93,0.9,0.99,0.96,0.95,0.99,1,1,0.99,0.97,0.96,1,0.87,0.92,0.98,0.91,0.87,0.87,0.96,1,1,0.95,0.9,1,1,0.99,1,0.99,1,1,0.98,0.82,1,0.98,1
4_P1-100-3,1,1,0.99,1,1,1,0.33,1,1,1,1,1,1,1,0.86,1,1,-1,0.88,0,1,1,0.39,0.95,1,-0.84,-0.68,0.98,1,1,0.97,0.18,0.99,1,0.53,0.43,0.54,1,1,1,1,1,-0.05,0.98,0.72,0.97,0.45,0.98,1,0.85,1,0.98,0.78,0.99,1,1,1,1,0.99,1,0.8,1,0.98,1,0.99,1,1,1,1,0.97,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,0.99,1,1,1,1,1,1,0.97,1,1,1,1,1,1,0.96,1,1,1,0.88,1,1,1,0.97,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1
4_P1-200-3,1,1,0.48,0.91,1,1,1,1,0.87,0.77,1,1,1,-0.84,-0.65,1,1,1,1,1,0,1,0.79,-0.21,1,0.95,0.88,0.21,0.48,1,0.97,0,1,-0.39,1,1,-0.16,0.99,0.99,0.99,0.97,1,0.74,0.18,-0.97,0.98,1,0.98,-0.24,-0.37,1,0.77,1,0.98,0.99,-0.58,0.99,0.08,-0.13,1,1,0.51,0.08,1,0.97,1,0.73,1,0.71,0.94,1,1,1,1,1,0.76,1,1,1,0.99,1,0.82,1,0.99,1,1,1,0.75,1,0.57,0.95,0.79,1,0.61,0.99,1,0.98,0.96,0.93,0.88,1,1,0.99,1,0.83,0.49,0.84,1,0.98,0.99,0.96,0.89,0.44,1,0.99,1,-0.16,1,1,1,0.54,0.44,1,1,0.97,1,0.99,0.95,1,1,1,1,0.99,0.91,1,1,1,1,0.99,0.74,1,0.97,0.99,0.99,0.93,1,1,1,1,0.99,0.98,1,1,1,1,0.91,0.94,1,1
4_P1-40-3,1,1,1,1,0.98,1,1,0.94,1,1,0.81,1,0.72,1,0.98,0.97,0.99,0.99,-0.99,1,1,0,0.33,0.99,0.03,0.99,0.96,1,1,-0.47,-0.38,0.99,-0.03,1,-0.19,0.85,0.82,0.28,0.59,0.93,0.92,0.86,0.97,1,0.83,0.79,0.89,0.42,1,0.89,0.61,0.63,0.99,0.99,0.7,1,0.79,1,0.93,1,1,1,0.95,0.95,1,0.99,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,1,0.98,1,1,1,1,0.98,1,1,1,1,1,0.98,0.8,0.96,1,1,1,1,1,0.85,1,1,1,0.91,1,1,1,0.99,0.99,0.99,1,1,0.99,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.99,0.99,0.99,1,1,1,1,0.98,1,1,1,1,1,1,1,1,0.99,1,1,1
4_P1-60-3,0.88,1,0.95,1,0.99,0.98,0.58,0.98,0.99,1,0.94,0.98,0.89,0.92,0.26,0.79,0.19,-0.33,-0.48,0.39,0.79,0.33,0,0.55,0.02,0.37,-0.13,0.83,0.29,-0.18,-0.78,0.24,-0.17,0.78,-0.72,-0.96,0.62,0.12,0.24,0.14,0.93,0.8,-0.16,0.82,-0.37,0.3,-0.15,0.6,0.78,0.12,0.58,0.12,0.67,0.31,0.77,0.74,0.73,0.41,-0.01,0.66,0.79,0.95,0.17,0.73,0.88,0.73,0.93,0.88,0.86,0.54,0.87,1,0.97,1,0.94,0.94,0.99,1,0.99,1,0.99,0.88,1,0.93,1,1,1,0.96,1,0.92,0.97,0.82,1,0.6,0.96,1,0.99,0.99,0.87,0.88,1,1,0.98,1,0.86,0.47,0.84,1,1,0.99,0.96,0.97,0.61,1,1,0.99,0.77,1,1,0.93,0.87,0.51,0.96,0.97,0.94,0.97,1,0.91,0.98,0.99,1,0.98,0.98,0.97,0.99,1,0.78,0.93,0.99,0.68,0.96,0.91,0.86,1,0.98,0.99,0.94,1,0.98,0.98,1,0.98,1,1,0.99,0.95,0.96,1,1
